output_metric,parameter,standardized_coefficient,absolute_coefficient,rank_abs_coefficient,subsystem
gain_dual_rmse_m,fault_start_min,0.28690109191657415,0.28690109191657415,2,GNSS fault
gain_dual_rmse_m,fault_duration_min,0.2901672242452326,0.2901672242452326,1,GNSS fault
gain_dual_rmse_m,gnss_outage_duration_min,0.0018347540448000073,0.0018347540448000073,22,Mission outage
gain_dual_rmse_m,star_tracker_outage_duration_min,0.06112133834998999,0.06112133834998999,9,Mission outage
gain_dual_rmse_m,dual_outage_duration_min,0.03041476624967897,0.03041476624967897,15,Mission outage
fdir_pd,pseudorange_noise_std_m,-0.3680656689571415,0.3680656689571415,2,GNSS measurement
fdir_pd,accelerometer_noise_std_mps2,-0.03851787640168467,0.03851787640168467,16,Accelerometer
fdir_pd,accelerometer_bias_x_mps2,-0.014908532447297696,0.014908532447297696,22,Accelerometer
fdir_pd,accelerometer_bias_y_mps2,0.1260769692144716,0.1260769692144716,4,Accelerometer
fdir_pd,accelerometer_bias_z_mps2,-0.052045921964975934,0.052045921964975934,12,Accelerometer
fdir_pd,gyro_noise_std_degps,0.004314179167414111,0.004314179167414111,23,Gyroscope
fdir_pd,gyro_bias_x_degps,-0.05643883591670856,0.05643883591670856,11,Gyroscope
fdir_pd,gyro_bias_y_degps,0.03569929972075337,0.03569929972075337,17,Gyroscope
fdir_pd,gyro_bias_z_degps,0.07605172561548805,0.07605172561548805,8,Gyroscope
fdir_pd,star_tracker_noise_std_deg,0.06092370553152329,0.06092370553152329,10,Star tracker
fdir_pd,initial_position_error_x_m,0.07050006118963169,0.07050006118963169,9,Initial state
fdir_pd,initial_position_error_y_m,-0.04004257414103446,0.04004257414103446,14,Initial state
fdir_pd,initial_position_error_z_m,-0.12045578048810636,0.12045578048810636,6,Initial state
fdir_pd,initial_velocity_error_x_mps,0.018665020198917102,0.018665020198917102,21,Initial state
fdir_pd,initial_velocity_error_y_mps,0.02877900922180045,0.02877900922180045,20,Initial state
fdir_pd,initial_velocity_error_z_mps,-0.03883118101010327,0.03883118101010327,15,Initial state
fdir_pd,non_gravitational_acceleration_mps2,0.09947668578463402,0.09947668578463402,7,Orbital disturbance
fdir_pd,fault_magnitude_m,0.6302517724579694,0.6302517724579694,1,GNSS fault
fdir_pd,fault_start_min,-0.18025721307415107,0.18025721307415107,3,GNSS fault
fdir_pd,fault_duration_min,-0.046056411741481,0.046056411741481,13,GNSS fault
fdir_pd,gnss_outage_duration_min,0.030450657002985645,0.030450657002985645,19,Mission outage
fdir_pd,star_tracker_outage_duration_min,-0.12321171610167506,0.12321171610167506,5,Mission outage
fdir_pd,dual_outage_duration_min,-0.03265398224797928,0.03265398224797928,18,Mission outage
hybrid_pd,pseudorange_noise_std_m,-0.09331485072351223,0.09331485072351223,4,GNSS measurement
hybrid_pd,accelerometer_noise_std_mps2,-0.02845542172854087,0.02845542172854087,18,Accelerometer
hybrid_pd,accelerometer_bias_x_mps2,-0.004327217575000552,0.004327217575000552,20,Accelerometer
hybrid_pd,accelerometer_bias_y_mps2,-0.026695621028820376,0.026695621028820376,19,Accelerometer
hybrid_pd,accelerometer_bias_z_mps2,-2.0537713225796643e-05,2.0537713225796643e-05,23,Accelerometer
hybrid_pd,gyro_noise_std_degps,-0.03846725296103404,0.03846725296103404,12,Gyroscope
hybrid_pd,gyro_bias_x_degps,-0.14883822016526724,0.14883822016526724,2,Gyroscope
hybrid_pd,gyro_bias_y_degps,0.04313447999755765,0.04313447999755765,11,Gyroscope
hybrid_pd,gyro_bias_z_degps,0.05419669775181786,0.05419669775181786,9,Gyroscope
hybrid_pd,star_tracker_noise_std_deg,0.037625172420876846,0.037625172420876846,13,Star tracker
hybrid_pd,initial_position_error_x_m,-0.00017512768574041597,0.00017512768574041597,22,Initial state
hybrid_pd,initial_position_error_y_m,-0.03091577138167589,0.03091577138167589,16,Initial state
hybrid_pd,initial_position_error_z_m,-0.06500145985656414,0.06500145985656414,8,Initial state
hybrid_pd,initial_velocity_error_x_mps,-0.07264236158354663,0.07264236158354663,6,Initial state
hybrid_pd,initial_velocity_error_y_mps,0.003296965152023488,0.003296965152023488,21,Initial state
hybrid_pd,initial_velocity_error_z_mps,0.08954132503053044,0.08954132503053044,5,Initial state
hybrid_pd,non_gravitational_acceleration_mps2,0.09741392584690005,0.09741392584690005,3,Orbital disturbance
hybrid_pd,fault_magnitude_m,0.7426216165681325,0.7426216165681325,1,GNSS fault
hybrid_pd,fault_start_min,0.03519470661583734,0.03519470661583734,15,GNSS fault
hybrid_pd,fault_duration_min,0.04761529460528632,0.04761529460528632,10,GNSS fault
hybrid_pd,gnss_outage_duration_min,0.029228571364718025,0.029228571364718025,17,Mission outage
hybrid_pd,star_tracker_outage_duration_min,-0.06982534223619238,0.06982534223619238,7,Mission outage
