scenario_id,scenario_index,altitude_km,inclination_deg,initial_true_anomaly_deg,semi_major_axis_km,orbital_period_min,number_of_orbits,epochs,mean_geometry_step_s,visible_satellites_min,visible_satellites_mean,visible_satellites_max,availability_ge4_percent,availability_ge6_percent,pdop_availability_percent,pdop_min,pdop_mean,pdop_p90,pdop_p95,pdop_max,longest_below4_s,longest_below6_s,longest_below4_min,longest_below6_min,geometry_failures
AURORA17_052,52,550.0,60.0,240.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.877604166666666,17,100.0,100.0,100.0,0.7648594144036399,0.9712754167905681,1.1181453165914914,1.6252998896956794,1.6954179647133383,0.0,0.0,0.0,0.0,0
AURORA17_053,53,550.0,60.0,300.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.856770833333334,16,100.0,100.0,100.0,0.7958346385174434,0.9795601993911589,1.1104593267681346,1.623075356549955,1.6787669344885832,0.0,0.0,0.0,0.0,0
AURORA17_054,54,550.0,75.0,0.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.864583333333334,16,100.0,100.0,100.0,0.7932149423471806,0.9764495161621892,1.144521480648868,1.562097861612249,1.672501315936927,0.0,0.0,0.0,0.0,0
AURORA17_055,55,550.0,75.0,60.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.934895833333334,16,100.0,100.0,100.0,0.7951075441089684,0.9740568161116467,1.1827011280026252,1.5692645662171045,1.6918539933614192,0.0,0.0,0.0,0.0,0
AURORA17_056,56,550.0,75.0,120.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.848958333333334,16,100.0,100.0,100.0,0.796129990489508,0.9901320242246566,1.1971197531515405,1.620707419698958,1.6704113919865564,0.0,0.0,0.0,0.0,0
AURORA17_057,57,550.0,75.0,180.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.872395833333334,16,100.0,100.0,100.0,0.7921278869266595,0.9839230280021534,1.1793030381231198,1.6295012325004852,1.6645214620018423,0.0,0.0,0.0,0.0,0
AURORA17_058,58,550.0,75.0,240.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.9375,17,100.0,100.0,100.0,0.7628250658924014,0.9805788939781356,1.1857878791585503,1.6255473303712198,1.6956404078031813,0.0,0.0,0.0,0.0,0
AURORA17_059,59,550.0,75.0,300.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.8515625,16,100.0,100.0,100.0,0.7958319509670734,0.9875103700096232,1.1971342194093462,1.615280595372668,1.6764862925855648,0.0,0.0,0.0,0.0,0
AURORA17_060,60,550.0,90.0,0.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.9296875,16,100.0,100.0,100.0,0.7945338820293117,0.979106923995183,1.16904973978781,1.2085730957421794,1.6710061386616002,0.0,0.0,0.0,0.0,0
AURORA17_061,61,550.0,90.0,60.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.973958333333334,16,100.0,100.0,100.0,0.7933789399886118,0.9746428606763912,1.1295536821842307,1.2157729751427864,1.6917240836000218,0.0,0.0,0.0,0.0,0
AURORA17_062,62,550.0,90.0,120.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.8828125,16,100.0,100.0,100.0,0.795993220785794,0.9834144799065744,1.1729489563448439,1.6193660533014105,1.6695376167651834,0.0,0.0,0.0,0.0,0
AURORA17_063,63,550.0,90.0,180.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.908854166666666,16,100.0,100.0,100.0,0.7928667559658981,0.986060970588532,1.1746152291780125,1.6287934803322464,1.6630523092728862,0.0,0.0,0.0,0.0,0
AURORA17_064,64,550.0,90.0,240.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.973958333333334,17,100.0,100.0,100.0,0.7650972735438397,0.9758962431701376,1.1263740320882476,1.2123012318604283,1.6957983182866505,0.0,0.0,0.0,0.0,0
AURORA17_065,65,550.0,90.0,300.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.932291666666666,16,100.0,100.0,100.0,0.7928290915412148,0.9816182745769227,1.1867465912151813,1.6148838205563345,1.675662678313873,0.0,0.0,0.0,0.0,0
AURORA17_066,66,550.0,97.6,0.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.890625,16,100.0,100.0,100.0,0.7943894120656542,0.9819601657498157,1.1886714825016929,1.2095677202584763,1.6690674391073672,0.0,0.0,0.0,0.0,0
AURORA17_067,67,550.0,97.6,60.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.901041666666666,16,100.0,100.0,100.0,0.7955780962140159,0.9737774388496607,1.1294960887940664,1.19948101364539,1.691692415763571,0.0,0.0,0.0,0.0,0
AURORA17_068,68,550.0,97.6,120.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.861979166666666,16,100.0,100.0,100.0,0.7938863491447501,0.9874768231132315,1.1747292035523218,1.6205614554193561,1.669823848800272,0.0,0.0,0.0,0.0,0
AURORA17_069,69,550.0,97.6,180.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.890625,16,100.0,100.0,100.0,0.7933234121645042,0.9861494866923614,1.1848082695855648,1.6289439782070119,1.663295473616037,0.0,0.0,0.0,0.0,0
AURORA17_070,70,550.0,97.6,240.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.895833333333334,16,100.0,100.0,100.0,0.7934428903478634,0.976524103430411,1.1238963274571427,1.1975478086321902,1.6960927873333804,0.0,0.0,0.0,0.0,0
AURORA17_071,71,550.0,97.6,300.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.869791666666666,16,100.0,100.0,100.0,0.7927394838972727,0.9849099847827101,1.137490247072906,1.6147871758587817,1.6761277439759044,0.0,0.0,0.0,0.0,0
AURORA17_072,72,700.0,0.0,0.0,7078.137,98.77298451890735,2.0,396,30.006982638655398,12,14.02020202020202,18,100.0,100.0,100.0,0.7359567557629724,1.1571213461867864,1.6735813771641723,1.6776067657563387,1.6896614639507335,0.0,0.0,0.0,0.0,0
AURORA17_073,73,700.0,0.0,60.0,7078.137,98.77298451890735,2.0,396,30.006982638655398,12,14.065656565656566,18,100.0,100.0,100.0,0.7359645494139182,1.1400490200409097,1.664036108987836,1.6843389707778864,1.6904745321644394,0.0,0.0,0.0,0.0,0
AURORA17_074,74,700.0,0.0,120.0,7078.137,98.77298451890735,2.0,396,30.006982638655398,12,14.005050505050505,18,100.0,100.0,100.0,0.7358724153286079,1.1481120874931876,1.660656835648858,1.6802318119663773,1.6906948482668707,0.0,0.0,0.0,0.0,0
