geometry_name,source_scenario_id,replicate_index,scenario_seed,altitude_km,inclination_deg,initial_true_anomaly_deg,time_sync_error_s,natural_visible_satellites_min,natural_visible_satellites_mean,strong_detection_rate,strong_isolation_rate,low_detection_rate,false_alarm_rate,attitude_rmse_deg,permissive_mission_rmse,permissive_mission_max,permissive_final_error,permissive_final_sigma,permissive_strong_fault_rmse,permissive_gnss_outage_rmse,permissive_star_tracker_outage_rmse,permissive_low_redundancy_rmse,permissive_post_low_rmse,permissive_dual_outage_rmse,permissive_post_dual_rmse,permissive_nis_mean,permissive_nis_coverage,permissive_updates,protected_mission_rmse,protected_mission_max,protected_final_error,protected_final_sigma,protected_strong_fault_rmse,protected_gnss_outage_rmse,protected_star_tracker_outage_rmse,protected_low_redundancy_rmse,protected_post_low_rmse,protected_dual_outage_rmse,protected_post_dual_rmse,protected_nis_mean,protected_nis_coverage,protected_updates,gain_mission_rmse_m,gain_low_rmse_m,gain_dual_rmse_m
REFERENCE_AURORA,ORIGINAL_REFERENCE,2,170202,550.0,97.6,25.0,0.0,12,13.98030303030303,100.0,100.0,26.666666666666668,1.1666666666666667,0.04378082002499731,3.1042048035108607,13.94311311002786,0.7601846823066286,0.287554473504509,0.52570203671108,2.503657091233505,0.30075964671465705,8.45048681464581,5.930157867537588,3.018447173521115,1.6048270097745938,15.192900659445046,82.62108262108262,702,0.9509707648599256,3.8988139100021084,0.15111349858241435,0.28781442403323804,0.52570203671108,2.503657091233505,0.30075964671465705,0.3831514807903257,0.38037286259479774,0.26731630277287527,0.2694902803989498,3.0114553388954763,95.13677811550151,658,2.153234038650935,8.067335333855484,2.7511308707482396
WORST_PDOP_P95,AURORA17_004,2,170202,400.0,0.0,240.0,0.0,12,13.206060606060607,100.0,100.0,100.0,1.6666666666666667,0.04377364797438246,0.6204817477103411,1.5813034820093756,0.14183737865592908,0.2889007077414034,1.1426129619216374,0.7772516104169396,0.3269618692361302,0.4977718962974986,0.36174146240154326,0.624221552849962,0.5015271538074375,2.9402747924973966,95.0,660,0.6204817477103411,1.5813034820093756,0.14183737865592908,0.2889007077414034,1.1426129619216374,0.7772516104169396,0.3269618692361302,0.4977718962974986,0.36174146240154326,0.624221552849962,0.5015271538074375,2.9402747924973966,95.0,660,0.0,0.0,0.0
BEST_MEAN_PDOP,AURORA17_088,3,170203,700.0,60.0,240.0,0.0,12,14.543939393939393,100.0,100.0,100.0,1.0,0.03903713265157746,0.5789118669879861,2.276661045707571,0.11883104859896146,0.28057469168341187,0.5435880975148331,1.3976046968714873,0.24891695116265142,0.2844201467288233,0.29368826572604334,0.09509939838223601,0.3336177653663678,2.9852680103240457,94.84848484848484,660,0.5789118669879861,2.276661045707571,0.11883104859896146,0.28057469168341187,0.5435880975148331,1.3976046968714873,0.24891695116265142,0.2844201467288233,0.29368826572604334,0.09509939838223601,0.3336177653663678,2.9852680103240457,94.84848484848484,660,0.0,0.0,0.0
MEDIAN_PDOP,AURORA17_056,3,170203,550.0,75.0,120.0,0.0,12,13.766666666666667,100.0,100.0,100.0,0.8333333333333334,0.03904676132880366,0.5061064482112533,1.7367689462788758,0.31165660241510174,0.2927865882822049,0.5375739440218508,1.0524082366719192,0.32506199842914957,0.1275997044150953,0.21254684396207021,0.4962798725267973,0.3464715685572617,3.002855752312794,95.15151515151516,660,0.5061064482112533,1.7367689462788758,0.31165660241510174,0.2927865882822049,0.5375739440218508,1.0524082366719192,0.32506199842914957,0.1275997044150953,0.21254684396207021,0.4962798725267973,0.3464715685572617,3.002855752312794,95.15151515151516,660,0.0,0.0,0.0
REFERENCE_AURORA,ORIGINAL_REFERENCE,3,170203,550.0,97.6,25.0,0.0,12,13.98030303030303,100.0,100.0,26.666666666666668,0.8333333333333334,0.03907568585098569,3.1587768337339828,14.510883338820856,0.689041640924695,0.28769953566327894,0.43039331060701486,1.3165877511972892,0.5173475493804117,9.005475326873128,5.992595659447826,3.1627057704217556,1.801225845899878,15.711667708078728,83.23863636363636,704,0.5830181690006476,2.2368786809901637,0.10737333691934153,0.28794660567084757,0.43039331060701486,1.3165877511972892,0.5173475493804117,0.15194393721670119,0.2982437722413788,0.18642260296449,0.2348771718838287,3.0385806160811897,94.84848484848484,660,2.575758664733335,8.853531389656426,2.9762831674572654
WORST_PDOP_P95,AURORA17_004,3,170203,400.0,0.0,240.0,0.0,12,13.206060606060607,100.0,100.0,100.0,0.33333333333333337,0.03894364116674943,0.6398539119781961,2.1399885011070054,0.07177557781460703,0.28896643530638,1.146932429362687,0.621774987910184,0.28000749307496153,0.4042307298112388,0.42474928731076794,0.5088250997366462,0.2774548994311045,3.0796253317085727,94.54545454545455,660,0.6398539119781961,2.1399885011070054,0.07177557781460703,0.28896643530638,1.146932429362687,0.621774987910184,0.28000749307496153,0.4042307298112388,0.42474928731076794,0.5088250997366462,0.2774548994311045,3.0796253317085727,94.54545454545455,660,0.0,0.0,0.0
BEST_MEAN_PDOP,AURORA17_088,4,170204,700.0,60.0,240.0,0.0,12,14.543939393939393,100.0,100.0,100.0,0.5,0.03829883511719337,0.5222755102053578,1.3713906125888704,0.3055663337901887,0.28048343043738194,0.7093447765139734,0.855782690565993,0.6957652845139165,0.1376758502753762,0.12241577220707175,0.2010936447507627,0.27378349768631943,2.988072891589728,94.54545454545455,660,0.5222755102053578,1.3713906125888704,0.3055663337901887,0.28048343043738194,0.7093447765139734,0.855782690565993,0.6957652845139165,0.1376758502753762,0.12241577220707175,0.2010936447507627,0.27378349768631943,2.988072891589728,94.54545454545455,660,0.0,0.0,0.0
MEDIAN_PDOP,AURORA17_056,4,170204,550.0,75.0,120.0,0.0,12,13.766666666666667,100.0,100.0,98.33333333333333,1.6666666666666667,0.03825054053469089,0.6825079273844679,2.5829845907403386,0.142665169067462,0.2929836155960019,0.7878505788510012,1.099127270890689,0.19935371538541224,0.37708183102521725,0.6236559555991072,0.7182976892916547,0.4268389414063719,3.4206547878318383,94.98480243161094,658,0.6883658583333316,2.5829845907403386,0.13289444961661498,0.292990479874396,0.7878505788510012,1.099127270890689,0.19935371538541224,0.32808104138427885,0.6290710885072487,0.7735259305350227,0.4457143306772173,3.089895425074305,94.97716894977168,657,-0.0058579309488637765,0.0490007896409384,-0.055228241243368004
REFERENCE_AURORA,ORIGINAL_REFERENCE,4,170204,550.0,97.6,25.0,0.0,12,13.98030303030303,100.0,100.0,30.0,1.1666666666666667,0.03826008147601769,3.0641614359724163,13.957497332430263,0.7816890047699298,0.2876303168244528,0.6822213473577992,1.69810335127393,0.3606203519952006,8.589163319010224,5.964264569940307,2.8595280246102712,1.7483096254445274,15.160858012878636,84.04558404558404,702,0.7591458235939226,2.5199873712921055,0.20813198975150737,0.2878856525660839,0.6822213473577992,1.69810335127393,0.3606203519952006,0.30916917480787764,0.45585283000488913,0.7320380149982371,0.2908629943388169,3.2465389287888358,93.63636363636364,660,2.3050156123784937,8.279994144202346,2.127490009612034
WORST_PDOP_P95,AURORA17_004,4,170204,400.0,0.0,240.0,0.0,12,13.206060606060607,100.0,100.0,100.0,0.6666666666666667,0.03826261832136706,0.7406392631667392,2.5729392101097184,0.14210502717659376,0.28934763568898475,1.050237760640392,1.4257615532839758,0.41052005340202224,0.17853231895309535,0.21113490612476937,0.4023667844831339,0.24903689526479578,2.8323909653567756,93.9117199391172,657,0.7406392631667392,2.5729392101097184,0.14210502717659376,0.28934763568898475,1.050237760640392,1.4257615532839758,0.41052005340202224,0.17853231895309535,0.21113490612476937,0.4023667844831339,0.24903689526479578,2.8323909653567756,93.9117199391172,657,0.0,0.0,0.0
