phase_name,initial_true_anomaly_deg,replicate_index,scenario_seed,altitude_km,inclination_deg,dual_outage_start_min,dual_outage_end_min,dual_outage_duration_min,navigation_estimator_requested_start_min,navigation_estimator_start_min,navigation_estimator_start_index,navigation_estimator_age_at_outage_min,navigation_estimator_active_pre_outage_epochs,navigation_estimator_updates_before_outage,time_sync_error_s,natural_visible_satellites_min,natural_visible_satellites_mean,pre_outage_satellites,pre_outage_pdop,pre_outage_update_age_s,healthy_false_alarm_rate,pre_outage_rmse_m,mission_rmse_m,outage_rmse_m,outage_start_error_m,outage_end_error_m,outage_start_sigma_m,outage_end_sigma_m,post_recovery_rmse_m,final_error_m,navigation_nis_mean,navigation_nis_coverage_percent,attitude_outage_rmse_deg,attitude_end_outage_deg,experiment_estimator_age_min,experiment_estimator_start_min,experiment_outage_start_min,experiment_outage_end_min,experiment_outage_duration_min,fixed_initial_true_anomaly_deg,estimator_control_kind,estimator_control_name,estimator_control_mode,estimator_control_value
PHASE_000,0.0,3,170503,550.0,97.6,60.0,75.0,15.0,45.0,45.0,270,15.0,90,89,0.0,12,14.028395061728395,16,0.8251189093167984,10.0,0.9876543209876543,14.93057300043645,,2.9349682573768066,0.8876099115784505,5.086441164576544,0.6741231086632344,5.685324927423561,0.5750659637248012,0.14954109703337617,2.8763618191551807,95.18518518518519,0.12782153827332332,0.1571452738491467,15.0,45.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,45.0
PHASE_000,0.0,3,170503,550.0,97.6,60.0,75.0,15.0,30.0,30.0,180,30.0,180,179,0.0,12,14.028395061728395,16,0.8251189093167984,10.0,0.9876543209876543,0.59618341068171,,1.2648827951300017,0.42648114643296126,2.271223702475866,0.562446892173123,2.666390698835746,0.6290533189542258,0.15139570734617946,2.877641168889481,95.87301587301587,0.12782153827332332,0.1571452738491467,30.0,30.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,30.0
PHASE_000,0.0,3,170503,550.0,97.6,60.0,75.0,15.0,15.0,15.0,90,45.0,270,269,0.0,12,14.028395061728395,16,0.8251189093167984,10.0,0.9876543209876543,0.5096378109049426,,0.9565783427349812,0.39919448192273005,1.5800290944897855,0.46171249397703357,1.621310393727482,0.5214164557685572,0.16547071774348898,2.856079647361986,95.55555555555556,0.12782153827332332,0.1571452738491467,45.0,15.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,15.0
PHASE_000,0.0,3,170503,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,359,0.0,12,14.028395061728395,16,0.8251189093167984,10.0,0.9876543209876543,0.471242618237568,0.5293393334634445,0.49816432124722015,0.3679157142231851,0.6375925682479234,0.389714798882171,1.1325185101181752,0.37399755660681766,0.17321826966186393,2.8676896213349816,96.04938271604938,0.12782153827332332,0.1571452738491467,60.0,0.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,0.0
PHASE_000,0.0,4,170504,550.0,97.6,60.0,75.0,15.0,55.0,55.0,330,5.0,30,29,0.0,12,14.028395061728395,16,0.8251189279561645,10.0,1.728395061728395,,,7.449967580620213,1.9944730816192013,13.13938365414069,0.9475006093536891,8.084499226760165,0.6899086890911276,0.6890051102773956,3.1301733718035276,95.625,0.038270197846879135,0.04292328703683627,5.0,55.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,55.0
PHASE_000,0.0,4,170504,550.0,97.6,60.0,75.0,15.0,45.0,45.0,270,15.0,90,89,0.0,12,14.028395061728395,16,0.8251189279561645,10.0,1.728395061728395,14.943061769553063,,4.528906381117831,1.3756637144050834,8.127488961156367,0.6739471472669682,5.682376934348672,0.6167525324803949,0.4754073274130041,3.188310001795503,95.55555555555556,0.038270197846879135,0.04292328703683627,15.0,45.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,45.0
PHASE_000,0.0,4,170504,550.0,97.6,60.0,75.0,15.0,30.0,30.0,180,30.0,180,179,0.0,12,14.028395061728395,16,0.8251189279561645,10.0,1.728395061728395,0.690533254211815,,3.274137979189658,1.1735414272676292,5.687788005584931,0.5622775966615032,2.6659075224303335,0.5765635460852511,0.395273665206753,3.1895866656578393,95.23809523809523,0.038270197846879135,0.04292328703683627,30.0,30.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,30.0
PHASE_000,0.0,4,170504,550.0,97.6,60.0,75.0,15.0,15.0,15.0,90,45.0,270,269,0.0,12,14.028395061728395,16,0.8251189279561645,10.0,1.728395061728395,0.45462208210012156,,1.4526380129519294,0.7762483670006033,2.2339820073252605,0.46164467371633056,1.6222655215593145,0.48667316088045154,0.32739909926011734,3.195715368865891,94.86111111111111,0.038270197846879135,0.04292328703683627,45.0,15.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,15.0
PHASE_000,0.0,4,170504,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,359,0.0,12,14.028395061728395,16,0.8251189279561645,10.0,1.728395061728395,0.39763183149922954,0.6099436885418211,1.3390922194977928,0.7019683896073009,2.0632168466218497,0.38952994947912467,1.1322484983475551,0.48455287928653884,0.3313358594867182,3.19007480720807,94.81481481481482,0.038270197846879135,0.04292328703683627,60.0,0.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,0.0
PHASE_000,0.0,5,170505,550.0,97.6,60.0,75.0,15.0,55.0,55.0,330,5.0,30,29,0.0,12,14.028395061728395,16,0.8251189286526261,10.0,1.3580246913580247,,,4.022206276047543,0.8351353696203385,6.595546482752476,0.946714933391833,8.070505083994012,0.9137052885598006,0.16321492424083797,2.961189126132945,95.20833333333333,0.04526742985053748,0.060911692189511014,5.0,55.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,55.0
PHASE_000,0.0,5,170505,550.0,97.6,60.0,75.0,15.0,45.0,45.0,270,15.0,90,89,0.0,12,14.028395061728395,16,0.8251189286526261,10.0,1.3580246913580247,14.95416904082747,,1.4074716170902921,0.22219412250249776,2.7318507986715757,0.6738561503449788,5.68521368522119,0.7990074549528737,0.15566463259191204,3.0096836795172184,95.37037037037037,0.04526742985053748,0.060911692189511014,15.0,45.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,45.0
PHASE_000,0.0,5,170505,550.0,97.6,60.0,75.0,15.0,30.0,30.0,180,30.0,180,179,0.0,12,14.028395061728395,16,0.8251189286526261,10.0,1.3580246913580247,0.5618494106975945,,0.7093113135482386,0.3114111859867467,1.0929135671673713,0.5621872114515694,2.666884884473509,0.5901996186431333,0.15286716051722493,3.0369073946149463,95.07936507936508,0.04526742985053748,0.060911692189511014,30.0,30.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,30.0
PHASE_000,0.0,5,170505,550.0,97.6,60.0,75.0,15.0,15.0,15.0,90,45.0,270,269,0.0,12,14.028395061728395,16,0.8251189286526261,10.0,1.3580246913580247,0.5473008210481409,,0.48237372869775247,0.36712469506292056,0.5826887475431222,0.4613983413994046,1.6211186433693041,0.5503877307595699,0.19940283453230154,3.00930726257839,95.97222222222223,0.04526742985053748,0.060911692189511014,45.0,15.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,15.0
PHASE_000,0.0,5,170505,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,359,0.0,12,14.028395061728395,16,0.8251189286526261,10.0,1.3580246913580247,0.5098566476378789,0.492480774477928,0.8999412055333583,0.4759341255645243,1.3158203448188541,0.389425040792733,1.1320522437141676,0.4490878719027236,0.18041376737052534,2.9998465225601008,96.54320987654322,0.04526742985053748,0.060911692189511014,60.0,0.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,0.0
