phase_name,initial_true_anomaly_deg,replicate_index,scenario_seed,altitude_km,inclination_deg,dual_outage_start_min,dual_outage_end_min,dual_outage_duration_min,time_sync_error_s,natural_visible_satellites_min,natural_visible_satellites_mean,pre_outage_satellites,pre_outage_pdop,pre_outage_update_age_s,healthy_false_alarm_rate,pre_outage_rmse_m,mission_rmse_m,outage_rmse_m,outage_start_error_m,outage_end_error_m,outage_start_sigma_m,outage_end_sigma_m,post_recovery_rmse_m,final_error_m,navigation_nis_mean,navigation_nis_coverage_percent,attitude_outage_rmse_deg,attitude_end_outage_deg
PHASE_090,90.0,1,170301,550.0,97.6,60.0,75.0,15.0,0.0,12,13.9679012345679,13,0.973790466567965,10.0,1.4814814814814816,0.35924441101415716,0.4029549302964386,0.2688530358841646,0.12811868324429754,0.4195596467284084,0.4301572634568929,1.227550441069925,0.3683324473572198,0.3011956378870126,2.980695723240148,94.44444444444444,0.058805536618439666,0.07895888474129918
PHASE_135,135.0,1,170301,550.0,97.6,60.0,75.0,15.0,0.0,12,13.834567901234568,16,0.7946252162990638,10.0,1.2345679012345678,0.4035434614724338,0.7050697125013002,1.6278890512308366,0.658796209892626,2.72340232668151,0.4220771186529094,1.243446138732171,0.974166785336919,0.16279497768973467,3.028739563739014,95.30864197530863,0.05878020560282024,0.0789840728128405
PHASE_180,180.0,1,170301,550.0,97.6,60.0,75.0,15.0,0.0,12,14.040740740740741,14,0.9632701413059165,10.0,1.1111111111111112,0.6575148680886906,0.5904886049427485,0.8977460330883718,0.35003639148650645,1.3975950265301715,0.3936210668553345,1.1314826448495636,0.45047149464576564,0.11079853000877264,3.0618014647946574,96.29629629629629,0.05887559339101325,0.07943863264390419
PHASE_225,225.0,1,170301,550.0,97.6,60.0,75.0,15.0,0.0,12,13.897530864197531,14,0.9169834181576015,10.0,0.8641975308641975,0.29802482233587185,0.5813677021601057,0.7536047128433946,0.40950039953353234,1.0142112166972896,0.4466355084609247,1.2981798988761561,0.8138006610012759,0.280208654572899,3.009484287323463,93.58024691358024,0.05902865438453046,0.0800413850006096
PHASE_270,270.0,1,170301,550.0,97.6,60.0,75.0,15.0,0.0,12,13.801234567901234,14,0.8801711668259897,10.0,0.9876543209876543,0.2964471694091949,0.49131052013838483,0.61650774542138,0.3639835843849631,0.8071788310078296,0.4247485015960873,1.2102018732993103,0.6425608377855727,0.29656331245481343,2.9539191959800113,94.69135802469137,0.059113990954413304,0.08031949413484432
PHASE_315,315.0,1,170301,550.0,97.6,60.0,75.0,15.0,0.0,12,13.74074074074074,16,0.7935420133932855,10.0,0.8641975308641975,0.3234232183306919,0.40643315275832737,0.47709984983499204,0.09179539613749549,0.9031757358364487,0.40269662864657507,1.2023393783662717,0.32690839612417466,0.15977057845829432,3.0608622600026814,96.17283950617283,0.0590808563610887,0.08009304880742725
PHASE_000,0.0,2,170302,550.0,97.6,60.0,75.0,15.0,0.0,12,14.028395061728395,16,0.825118918263694,10.0,0.8641975308641975,0.7429785065355899,0.6402354182362391,1.1042433939498881,0.5147659647207126,1.8050500127830484,0.38943050914732236,1.1322364003906027,0.6874100415799909,0.21710354325270298,2.8611003400079795,95.43209876543209,0.05129560146295232,0.07271870173605177
PHASE_045,45.0,2,170302,550.0,97.6,60.0,75.0,15.0,0.0,12,14.044444444444444,14,0.9178044363499209,10.0,1.1111111111111112,0.4811346941469524,0.5044487500989908,0.9109215688483396,0.33501143357545116,1.4694714012287595,0.44387516360035867,1.3075501791879571,0.5309690888085973,0.15266160959103986,3.000599649229984,95.18518518518519,0.05121564091914533,0.07251731837524594
PHASE_090,90.0,2,170302,550.0,97.6,60.0,75.0,15.0,0.0,12,13.9679012345679,13,0.9737904897409339,10.0,1.4814814814814816,0.47356460025550184,0.4613168584987117,0.6929255622041445,0.5469641814746599,0.8002591181465627,0.4301441095923838,1.227792419596506,0.5740851627104232,0.4817666141882109,2.9234899169425117,94.32098765432099,0.051137366513675925,0.07235346968422549
PHASE_135,135.0,2,170302,550.0,97.6,60.0,75.0,15.0,0.0,12,13.834567901234568,16,0.7946252208206482,10.0,1.1111111111111112,0.35143810983706175,0.37674267652993315,0.4331135136130125,0.15865007904552247,0.7395555178526785,0.4220273226412571,1.2435499539542159,0.3717563129341913,0.5188746670828416,3.068824600860688,94.5679012345679,0.05111306697498927,0.07233677773633097
PHASE_180,180.0,2,170302,550.0,97.6,60.0,75.0,15.0,0.0,12,14.040740740740741,14,0.9632701820965623,10.0,0.9876543209876543,0.48718496846344905,0.4202795883755576,0.6028068935093605,0.36650603604588006,0.8747429536223821,0.39370896722244236,1.1317480106275952,0.38640577642143764,0.2693505537470906,3.0539734198514132,94.19753086419753,0.05118846330679504,0.07254239388076439
PHASE_225,225.0,2,170302,550.0,97.6,60.0,75.0,15.0,0.0,12,13.897530864197531,14,0.9169833916186573,10.0,0.8641975308641975,0.6611287281104207,0.4485404634133947,0.6292780114669674,0.3742976235008283,0.918097641017129,0.4467880693840539,1.2986440443129563,0.47214713566436245,0.30684519083203715,3.111694650122996,96.17283950617283,0.05131449649304055,0.0728416722654069
PHASE_270,270.0,2,170302,550.0,97.6,60.0,75.0,15.0,0.0,12,13.801234567901234,14,0.8801711806343288,10.0,0.9876543209876543,0.3882217887772537,0.7409768921642788,1.688385910543714,0.7400221461131957,2.68649326014796,0.4249076080600642,1.2106182541313655,0.4593977859649711,0.27849170467172335,2.9496311774618715,94.93827160493828,0.05138964607239012,0.0730020246110675
PHASE_315,315.0,2,170302,550.0,97.6,60.0,75.0,15.0,0.0,12,13.74074074074074,16,0.7935420192715221,10.0,0.9876543209876543,0.55556326720336,0.45948706821208896,0.350662961467927,0.27983318302964605,0.4015865201501955,0.40259400361536607,1.2022605160922015,0.398814132642447,0.23508693419453183,2.994999828298116,95.30864197530863,0.051368411385608534,0.07292229033525076
PHASE_000,0.0,3,170303,550.0,97.6,60.0,75.0,15.0,0.0,12,14.028395061728395,16,0.8251189228017477,10.0,0.49382716049382713,0.4539161030337448,0.3714615052497303,0.22091927081310853,0.12445863634681152,0.3390246334105737,0.38943928460195,1.1319025186318357,0.4577842971744344,0.09425329842285664,3.0133458852514,93.58024691358024,0.07519987119503488,0.08192917749750357
PHASE_045,45.0,3,170303,550.0,97.6,60.0,75.0,15.0,0.0,12,14.044444444444444,14,0.9178044412997657,10.0,0.49382716049382713,0.4770261537097354,0.49434034403386334,0.4726554577457888,0.23525739585650773,0.7419799258830987,0.4438589448229378,1.307447062758054,0.3941417740116029,0.21632654194580014,2.9323462495095134,95.43209876543209,0.0751417491627634,0.0816192240709695
PHASE_090,90.0,3,170303,550.0,97.6,60.0,75.0,15.0,0.0,12,13.9679012345679,13,0.9737904927058953,10.0,0.7407407407407408,0.40966243500501176,0.39266760151927244,0.5288822973397439,0.26137649282998093,0.7949209522283314,0.4302576150029074,1.2275522086899975,0.3394213464775845,0.04008796772252353,3.0118604034592638,95.18518518518519,0.07506831881583914,0.0813256579286115
PHASE_135,135.0,3,170303,550.0,97.6,60.0,75.0,15.0,0.0,12,13.834567901234568,16,0.7946252203309527,10.0,0.49382716049382713,0.4587013524403059,0.49970847386458267,0.9362139651402833,0.20179590840903136,1.6936855553211567,0.4220170882357587,1.2434937540965845,0.4318122418444792,0.1835056078012175,2.9148684684252126,94.69135802469137,0.07502705250915302,0.08125156492926001
PHASE_180,180.0,3,170303,550.0,97.6,60.0,75.0,15.0,0.0,12,14.040740740740741,14,0.9632701629366919,10.0,0.8641975308641975,0.38533160189119087,0.35695039391690025,0.20044302930988236,0.22584965634078025,0.18340631910494287,0.39356438918220993,1.1312895056276207,0.3354779447078736,0.33613162536357005,3.041484225930899,95.43209876543209,0.0750732893347031,0.0815862488707037
