phase_name,initial_true_anomaly_deg,replicate_index,scenario_seed,altitude_km,inclination_deg,dual_outage_start_min,dual_outage_end_min,dual_outage_duration_min,navigation_estimator_requested_start_min,navigation_estimator_start_min,navigation_estimator_start_index,navigation_estimator_age_at_outage_min,navigation_estimator_active_pre_outage_epochs,navigation_estimator_updates_before_outage,time_sync_error_s,natural_visible_satellites_min,natural_visible_satellites_mean,pre_outage_satellites,pre_outage_pdop,pre_outage_update_age_s,healthy_false_alarm_rate,pre_outage_rmse_m,mission_rmse_m,outage_rmse_m,outage_start_error_m,outage_end_error_m,outage_start_sigma_m,outage_end_sigma_m,post_recovery_rmse_m,final_error_m,navigation_nis_mean,navigation_nis_coverage_percent,attitude_outage_rmse_deg,attitude_end_outage_deg,experiment_outage_start_min,experiment_outage_end_min,experiment_outage_duration_min,experiment_post_recovery_end_min,experiment_estimator_start_min,fixed_initial_true_anomaly_deg
PHASE_000,0.0,4,170604,550.0,97.6,60.0,65.0,5.0,0.0,0.0,0,60.0,360,359,0.0,12,14.024137931034483,16,0.8251189343233187,10.0,1.3793103448275863,0.6334386405972183,0.5035662935213574,0.30063225995845116,0.28464657504161023,0.3178818965763563,0.3894663634230019,0.5605313425135492,0.5064318751365857,0.23861781965440226,2.9583344310681086,95.40229885057471,0.08061117576819354,0.061240129699553475,60.0,65.0,5.0,80.0,0.0,0.0
PHASE_000,0.0,4,170604,550.0,97.6,60.0,70.0,10.0,0.0,0.0,0,60.0,360,359,0.0,12,14.039285714285715,16,0.8251189343233187,10.0,0.9523809523809524,0.6334386405972183,0.49468139931841604,0.32241497967872235,0.28464657504161023,0.368129982000318,0.3894663634230019,0.8064418351367172,0.352349176679964,0.11777627315266107,2.996297739457839,95.83333333333334,0.07607757933910271,0.09817739456977607,60.0,70.0,10.0,85.0,0.0,0.0
PHASE_000,0.0,4,170604,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,359,0.0,12,14.028395061728395,16,0.8251189343233187,10.0,1.3580246913580247,0.6334386405972183,0.49672314775772286,0.3513412581388219,0.28464657504161023,0.4391236357524878,0.3894663634230019,1.1321295038413666,0.4427402210542075,0.23507038775163983,3.0211117087737773,94.81481481481482,0.1023994070407614,0.15594531335508777,60.0,75.0,15.0,90.0,0.0,0.0
PHASE_000,0.0,4,170604,550.0,97.6,60.0,80.0,20.0,0.0,0.0,0,60.0,360,359,0.0,12,14.037179487179488,16,0.8251189343233187,10.0,0.7692307692307693,0.6334386405972183,0.5193630029718416,0.39200121443853,0.28464657504161023,0.5541350925113568,0.3894663634230019,1.5444461344568403,0.5941492119164515,0.1597123236252921,3.084940660167276,94.74358974358974,0.11958370895892652,0.13598782062874606,60.0,80.0,20.0,95.0,0.0,0.0
PHASE_000,0.0,4,170604,550.0,97.6,60.0,90.0,30.0,0.0,0.0,0,60.0,360,359,0.0,12,13.9375,16,0.8251189343233187,10.0,0.9722222222222222,0.6334386405972183,0.54794135718571,0.543735511192192,0.28464657504161023,0.986706177430017,0.3894663634230019,2.628461281303387,0.46432286211217977,0.37277274641692026,2.9147265926726718,94.44444444444444,0.12444131196186665,0.12236954572209313,60.0,90.0,30.0,105.0,0.0,0.0
PHASE_000,0.0,5,170605,550.0,97.6,60.0,65.0,5.0,0.0,0.0,0,60.0,360,359,0.0,12,14.024137931034483,16,0.8251189180360597,10.0,0.9195402298850575,0.5244359534175745,0.4623213719551873,0.04763058393843885,0.06407899634524242,0.041549264833655467,0.3896156812730912,0.5606529534985032,0.48684099815896575,0.18278500623309268,3.267579702469986,94.59770114942529,0.05378553674871814,0.06455058155414087,60.0,65.0,5.0,80.0,0.0,0.0
PHASE_000,0.0,5,170605,550.0,97.6,60.0,70.0,10.0,0.0,0.0,0,60.0,360,359,0.0,12,14.039285714285715,16,0.8251189180360597,10.0,1.4285714285714286,0.5244359534175745,0.421438588266306,0.06053512251823139,0.06407899634524242,0.10000225538357205,0.3896156812730912,0.8064841791536581,0.35518982123513587,0.1849615517689424,3.080759014955107,93.33333333333333,0.061866414588473057,0.0622234918729319,60.0,70.0,10.0,85.0,0.0,0.0
PHASE_000,0.0,5,170605,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,359,0.0,12,14.028395061728395,16,0.8251189180360597,10.0,1.4814814814814816,0.5244359534175745,0.43627010947259,0.09095812901390242,0.06407899634524242,0.1581972015347318,0.3896156812730912,1.1320938248737749,0.2995808396858535,0.23484303566054632,3.0308241501811035,95.43209876543209,0.056431488371469996,0.04514058526117085,60.0,75.0,15.0,90.0,0.0,0.0
PHASE_000,0.0,5,170605,550.0,97.6,60.0,80.0,20.0,0.0,0.0,0,60.0,360,359,0.0,12,14.037179487179488,16,0.8251189180360597,10.0,1.153846153846154,0.5244359534175745,0.4161852888311026,0.12081265481446124,0.06407899634524242,0.20150751760582272,0.3896156812730912,1.5443723270005854,0.3724653119546261,0.18861347543263454,2.9377716096141633,95.64102564102565,0.06690276017456005,0.09304430577592608,60.0,80.0,20.0,95.0,0.0,0.0
PHASE_000,0.0,5,170605,550.0,97.6,60.0,90.0,30.0,0.0,0.0,0,60.0,360,359,0.0,12,13.9375,16,0.8251189180360597,10.0,1.6666666666666667,0.5244359534175745,0.4107333709181039,0.1614085198582255,0.06407899634524242,0.2292902372462984,0.3896156812730912,2.6285533246593333,0.331801999662011,0.07541059490918384,3.0271886916895294,94.86111111111111,0.06881509829250106,0.058263164419737584,60.0,90.0,30.0,105.0,0.0,0.0
