run_id,fdir_pfa,temporal_ai_pfa,naive_or_pfa,hybrid_pfa,fdir_false_alarm_episodes,temporal_ai_false_alarm_episodes,naive_or_false_alarm_episodes,hybrid_false_alarm_episodes,fdir_pd_global,temporal_ai_pd_global,naive_or_pd_global,hybrid_pd_global,fdir_pd_5,temporal_ai_pd_5,naive_or_pd_5,hybrid_pd_5,fdir_episode_detected_5,hybrid_episode_detected_5,fdir_latency_5_s,hybrid_latency_5_s,fdir_pd_10,temporal_ai_pd_10,naive_or_pd_10,hybrid_pd_10,fdir_episode_detected_10,hybrid_episode_detected_10,fdir_latency_10_s,hybrid_latency_10_s,fdir_pd_20,temporal_ai_pd_20,naive_or_pd_20,hybrid_pd_20,fdir_episode_detected_20,hybrid_episode_detected_20,fdir_latency_20_s,hybrid_latency_20_s,fdir_pd_50,temporal_ai_pd_50,naive_or_pd_50,hybrid_pd_50,fdir_episode_detected_50,hybrid_episode_detected_50,fdir_latency_50_s,hybrid_latency_50_s
110,4.545454545454546,19.090909090909093,19.090909090909093,20.909090909090907,5,7,7,5,6.666666666666667,27.500000000000004,27.500000000000004,28.333333333333332,1.6666666666666667,6.666666666666667,6.666666666666667,8.333333333333332,1,1,450.0,360.0,1.6666666666666667,5.0,5.0,5.0,1,1,450.0,450.0,3.3333333333333335,15.0,15.0,11.666666666666666,1,1,0.0,0.0,20.0,83.33333333333334,83.33333333333334,88.33333333333333,1,1,0.0,0.0
111,0.0,0.0,0.0,0.0,0,0,0,0,5.833333333333333,19.166666666666668,19.166666666666668,18.75,0.0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,0,,,0.0,5.0,5.0,5.0,0,1,,560.0,23.333333333333332,71.66666666666667,71.66666666666667,70.0,1,1,0.0,0.0
112,1.8181818181818181,2.727272727272727,3.6363636363636362,4.545454545454546,2,1,2,2,11.25,31.666666666666664,32.083333333333336,34.166666666666664,3.3333333333333335,5.0,6.666666666666667,8.333333333333332,1,1,70.0,70.0,1.6666666666666667,8.333333333333332,8.333333333333332,10.0,1,1,70.0,70.0,5.0,18.333333333333332,18.333333333333332,20.0,1,1,40.0,40.0,35.0,95.0,95.0,98.33333333333333,1,1,0.0,0.0
113,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,1,1,1,1,9.583333333333334,32.083333333333336,32.083333333333336,32.083333333333336,0.0,0.0,0.0,0.0,0,0,,,0.0,1.6666666666666667,1.6666666666666667,0.0,0,0,,,5.0,28.333333333333332,28.333333333333332,28.333333333333332,1,1,0.0,0.0,33.33333333333333,98.33333333333333,98.33333333333333,100.0,1,1,0.0,0.0
114,2.727272727272727,3.6363636363636362,3.6363636363636362,3.6363636363636362,3,4,4,4,9.166666666666666,27.916666666666668,28.333333333333332,29.583333333333332,3.3333333333333335,5.0,5.0,5.0,1,1,160.0,160.0,3.3333333333333335,5.0,6.666666666666667,6.666666666666667,1,1,160.0,160.0,5.0,10.0,10.0,13.333333333333334,1,1,0.0,0.0,25.0,91.66666666666666,91.66666666666666,93.33333333333333,1,1,0.0,0.0
115,0.0,0.0,0.0,0.0,0,0,0,0,9.583333333333334,26.25,26.25,27.916666666666668,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1,1,430.0,430.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,1,1,0.0,0.0,3.3333333333333335,15.0,15.0,15.0,1,1,0.0,0.0,30.0,85.0,85.0,91.66666666666666,1,1,0.0,0.0
116,3.6363636363636362,2.727272727272727,4.545454545454546,5.454545454545454,3,2,3,3,9.166666666666666,21.666666666666668,22.083333333333332,24.166666666666668,3.3333333333333335,3.3333333333333335,5.0,6.666666666666667,1,1,290.0,290.0,3.3333333333333335,6.666666666666667,6.666666666666667,6.666666666666667,1,1,290.0,290.0,5.0,11.666666666666666,11.666666666666666,8.333333333333332,1,1,0.0,0.0,25.0,65.0,65.0,75.0,1,1,0.0,0.0
117,1.8181818181818181,1.8181818181818181,1.8181818181818181,1.8181818181818181,2,2,2,2,5.0,12.5,12.5,14.166666666666666,0.0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,0,,,20.0,50.0,50.0,56.666666666666664,1,1,0.0,0.0
118,1.8181818181818181,3.6363636363636362,3.6363636363636362,4.545454545454546,2,2,2,2,12.083333333333334,25.833333333333336,26.25,28.333333333333332,3.3333333333333335,5.0,6.666666666666667,8.333333333333332,1,1,130.0,130.0,1.6666666666666667,5.0,5.0,6.666666666666667,1,1,130.0,130.0,6.666666666666667,13.333333333333334,13.333333333333334,13.333333333333334,1,1,110.0,110.0,36.666666666666664,80.0,80.0,85.0,1,1,0.0,0.0
119,0.0,0.0,0.0,0.0,0,0,0,0,7.5,24.166666666666668,24.583333333333332,26.25,1.6666666666666667,0.0,1.6666666666666667,1.6666666666666667,1,1,560.0,560.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1,1,560.0,560.0,1.6666666666666667,5.0,5.0,6.666666666666667,1,1,560.0,560.0,25.0,90.0,90.0,95.0,1,1,0.0,0.0
