phase_name,initial_true_anomaly_deg,replicate_index,scenario_seed,altitude_km,inclination_deg,dual_outage_start_min,dual_outage_end_min,dual_outage_duration_min,navigation_estimator_requested_start_min,navigation_estimator_start_min,navigation_estimator_start_index,navigation_estimator_age_at_outage_min,navigation_estimator_active_pre_outage_epochs,navigation_estimator_updates_before_outage,time_sync_error_s,natural_visible_satellites_min,natural_visible_satellites_mean,pre_outage_satellites,pre_outage_pdop,pre_outage_update_age_s,healthy_false_alarm_rate,pre_outage_rmse_m,mission_rmse_m,outage_rmse_m,outage_start_error_m,outage_end_error_m,outage_start_sigma_m,outage_end_sigma_m,post_recovery_rmse_m,final_error_m,navigation_nis_mean,navigation_nis_coverage_percent,attitude_outage_rmse_deg,attitude_end_outage_deg,experiment_estimator_age_min,experiment_estimator_start_min,experiment_outage_start_min,experiment_outage_duration_min,experiment_outage_end_min,experiment_post_recovery_end_min,fixed_initial_true_anomaly_deg
PHASE_000,0.0,1,170701,550.0,97.6,60.0,90.0,30.0,30.0,30.0,180,30.0,180,179,0.0,12,13.9375,16,0.8251189301909205,10.0,0.9722222222222222,0.5324036210415319,,4.454923291426088,0.48186056595070037,8.43522586718183,0.5620907578419594,7.420554882808642,0.4935337173371626,0.1967038138969509,2.8829757341667572,97.22222222222221,0.12233393664501249,0.13939873945327605,30.0,30.0,60.0,30.0,90.0,105.0,0.0
PHASE_000,0.0,1,170701,550.0,97.6,60.0,90.0,30.0,0.0,0.0,0,60.0,360,359,0.0,12,13.9375,16,0.8251189301909205,10.0,0.9722222222222222,0.5219304931631465,0.4366956790908225,0.5159331476987854,0.0400950440203635,0.9668087994746078,0.3893980206619124,2.6278404096297248,0.3299044923417605,0.1996423815974535,2.9307528827153893,96.25,0.12233393664501249,0.13939873945327605,60.0,0.0,60.0,30.0,90.0,105.0,0.0
PHASE_000,0.0,2,170702,550.0,97.6,60.0,75.0,15.0,55.0,55.0,330,5.0,30,29,0.0,12,14.028395061728395,16,0.8251189110544789,10.0,1.1111111111111112,,,3.4696906689923837,0.979703289544961,5.846036740216364,0.9467149267222275,8.070429630831685,0.7472272526312737,0.20920435087988853,2.849889772333713,94.58333333333333,0.04816936819732261,0.10273853115955461,5.0,55.0,60.0,15.0,75.0,90.0,0.0
PHASE_000,0.0,2,170702,550.0,97.6,60.0,75.0,15.0,30.0,30.0,180,30.0,180,179,0.0,12,14.028395061728395,16,0.8251189110544789,10.0,1.1111111111111112,0.41980620844545863,,0.4001087232110388,0.29744630516279924,0.5087903059293802,0.5621431054470414,2.666048012142821,0.5207528067959538,0.2929694411796818,2.835406799552588,95.3968253968254,0.04816936819732261,0.10273853115955461,30.0,30.0,60.0,15.0,75.0,90.0,0.0
PHASE_000,0.0,2,170702,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,359,0.0,12,14.028395061728395,16,0.8251189110544789,10.0,1.1111111111111112,0.23462792451177025,0.4611913177480809,0.7129225848033011,0.26731167161466135,1.2010965268780118,0.38941179929844494,1.131954979908944,0.3966894409028553,0.2318020822009097,2.8884208287570097,95.92592592592592,0.04816936819732261,0.10273853115955461,60.0,0.0,60.0,15.0,75.0,90.0,0.0
PHASE_000,0.0,2,170702,550.0,97.6,60.0,90.0,30.0,55.0,55.0,330,5.0,30,29,0.0,12,13.9375,16,0.8251189110544789,10.0,1.3888888888888888,,,9.627056256841977,0.979703289544961,21.441650566437012,0.9467149267222275,24.089337335131823,0.951777546937374,0.5308495996733478,2.866271996546697,94.61538461538461,0.10097360058726773,0.15135115921789336,5.0,55.0,60.0,30.0,90.0,105.0,0.0
PHASE_000,0.0,2,170702,550.0,97.6,60.0,90.0,30.0,30.0,30.0,180,30.0,180,179,0.0,12,13.9375,16,0.8251189110544789,10.0,1.3888888888888888,0.41980620844545863,,0.5885704321656167,0.29744630516279924,1.0029081430254625,0.5621431054470414,7.423811523019917,0.7572739627824121,0.34637115606146535,2.8497422356609974,93.7037037037037,0.10097360058726773,0.15135115921789336,30.0,30.0,60.0,30.0,90.0,105.0,0.0
PHASE_000,0.0,2,170702,550.0,97.6,60.0,90.0,30.0,0.0,0.0,0,60.0,360,359,0.0,12,13.9375,16,0.8251189110544789,10.0,1.3888888888888888,0.23462792451177025,0.8235658056902736,1.556521286835341,0.26731167161466135,2.925921195171077,0.38941179929844494,2.62829483835287,0.55803123176995,0.36328008362460645,2.9012937931330134,94.86111111111111,0.10097360058726773,0.15135115921789336,60.0,0.0,60.0,30.0,90.0,105.0,0.0
PHASE_000,0.0,3,170703,550.0,97.6,60.0,75.0,15.0,55.0,55.0,330,5.0,30,29,0.0,12,14.028395061728395,16,0.8251189326647966,10.0,0.6172839506172839,,,2.7487300664148093,0.9697673574730299,4.5260210263532885,0.9467149334002329,8.070422782570628,1.1726149097559817,0.0712841788852017,2.9572787721267764,96.04166666666667,0.056113645091776417,0.08503218034243308,5.0,55.0,60.0,15.0,75.0,90.0,0.0
PHASE_000,0.0,3,170703,550.0,97.6,60.0,75.0,15.0,30.0,30.0,180,30.0,180,179,0.0,12,14.028395061728395,16,0.8251189326647966,10.0,0.6172839506172839,0.33036039669028355,,0.4711318462392227,0.46958954716098644,0.3866917032418836,0.5621699359423546,2.666324676759113,0.8585349171953606,0.03461559870520951,2.9093031678855628,96.82539682539682,0.056113645091776417,0.08503218034243308,30.0,30.0,60.0,15.0,75.0,90.0,0.0
PHASE_000,0.0,3,170703,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,359,0.0,12,14.028395061728395,16,0.8251189326647966,10.0,0.6172839506172839,0.3735246513704527,0.4317020467415741,0.6026183414662365,0.48464918012366154,0.6546161835433062,0.3893965771372556,1.1317616987697305,0.6115829101305617,0.11104669170684427,2.9448716346262116,95.55555555555556,0.056113645091776417,0.08503218034243308,60.0,0.0,60.0,15.0,75.0,90.0,0.0
PHASE_000,0.0,3,170703,550.0,97.6,60.0,90.0,30.0,55.0,55.0,330,5.0,30,29,0.0,12,13.9375,16,0.8251189326647966,10.0,0.6944444444444444,,,5.704047484795086,0.9697673574730299,10.334201478756386,0.9467149334002329,24.088249792269895,0.9430726249981386,0.42541021872962304,2.8450541810719048,94.1025641025641,0.09004307793104617,0.13955457144142483,5.0,55.0,60.0,30.0,90.0,105.0,0.0
PHASE_000,0.0,3,170703,550.0,97.6,60.0,90.0,30.0,30.0,30.0,180,30.0,180,179,0.0,12,13.9375,16,0.8251189326647966,10.0,0.6944444444444444,0.33036039669028355,,0.38931778791248606,0.46958954716098644,0.36058651363515276,0.5621699359423546,7.422625890696338,0.6865369124979179,0.4476967882905403,2.8236131471523516,96.66666666666667,0.09004307793104617,0.13955457144142483,30.0,30.0,60.0,30.0,90.0,105.0,0.0
PHASE_000,0.0,3,170703,550.0,97.6,60.0,90.0,30.0,0.0,0.0,0,60.0,360,359,0.0,12,13.9375,16,0.8251189326647966,10.0,0.6944444444444444,0.3735246513704527,0.4770306211701195,0.5893004629576827,0.48464918012366154,0.4598429687708561,0.3893965771372556,2.627526455518957,0.5263805202501454,0.4854202619382445,2.8825589330879122,95.27777777777777,0.09004307793104617,0.13955457144142483,60.0,0.0,60.0,30.0,90.0,105.0,0.0
PHASE_000,0.0,4,170704,550.0,97.6,60.0,75.0,15.0,55.0,55.0,330,5.0,30,29,0.0,12,14.028395061728395,16,0.8251188981946305,10.0,0.8641975308641975,,,3.633468174382866,0.9730025484692219,6.0307726856962205,0.949133536858618,8.07626341998785,0.6075567987734279,0.18983206829773924,2.98495198623735,96.875,0.05810318834295854,0.10963165521518309,5.0,55.0,60.0,15.0,75.0,90.0,0.0
PHASE_000,0.0,4,170704,550.0,97.6,60.0,75.0,15.0,30.0,30.0,180,30.0,180,179,0.0,12,14.028395061728395,16,0.8251188981946305,10.0,0.8641975308641975,0.9021464672901592,,2.0844517221218837,0.7587721236232715,3.2319898092677084,0.5629887355254275,2.668336757884507,0.6148181996389611,0.1274441381112062,3.0267332815801797,95.23809523809523,0.05810318834295854,0.10963165521518309,30.0,30.0,60.0,15.0,75.0,90.0,0.0
