output_metric,parameter,spearman_rho,absolute_rho,p_value,samples,q_value,fdr_significant_0p10,rank_abs_rho,subsystem
protected_dual_outage_rmse,accelerometer_noise_std_mps2,-0.041666666666666664,0.041666666666666664,0.7437392744659966,64,0.926044100235536,False,16,Accelerometer
protected_dual_outage_rmse,accelerometer_bias_x_mps2,0.12000915750915749,0.12000915750915749,0.34487814875536954,64,0.8538677971827122,False,8,Accelerometer
protected_dual_outage_rmse,accelerometer_bias_y_mps2,0.175,0.175,0.16663218590614945,64,0.6387567126402396,False,6,Accelerometer
protected_dual_outage_rmse,accelerometer_bias_z_mps2,0.08685897435897436,0.08685897435897436,0.49494310057293844,64,0.8784980728636653,False,12,Accelerometer
protected_dual_outage_rmse,gyro_noise_std_degps,0.17989926739926737,0.17989926739926737,0.15489173062518963,64,0.6387567126402396,False,5,Gyroscope
protected_dual_outage_rmse,gyro_bias_x_degps,-0.018315018315018312,0.018315018315018312,0.8857813132687735,64,0.926044100235536,False,22,Gyroscope
protected_dual_outage_rmse,gyro_bias_y_degps,0.11597985347985347,0.11597985347985347,0.3614335758340808,64,0.8538677971827122,False,9,Gyroscope
protected_dual_outage_rmse,gyro_bias_z_degps,0.25819597069597067,0.25819597069597067,0.03940548499826765,64,0.22658153874003897,False,4,Gyroscope
protected_dual_outage_rmse,star_tracker_noise_std_deg,0.030677655677655673,0.030677655677655673,0.8098335260575397,64,0.926044100235536,False,18,Star tracker
protected_dual_outage_rmse,initial_position_error_x_m,0.15128205128205127,0.15128205128205127,0.23275752556302892,64,0.7647747268499522,False,7,Initial state
protected_dual_outage_rmse,initial_position_error_y_m,0.029487179487179487,0.029487179487179487,0.8170830292173392,64,0.926044100235536,False,20,Initial state
protected_dual_outage_rmse,initial_position_error_z_m,0.0630952380952381,0.0630952380952381,0.6203831173460146,64,0.926044100235536,False,14,Initial state
protected_dual_outage_rmse,initial_velocity_error_x_mps,0.25879120879120876,0.25879120879120876,0.03893769132874864,64,0.22658153874003897,False,3,Initial state
protected_dual_outage_rmse,initial_velocity_error_y_mps,-0.09514652014652013,0.09514652014652013,0.4545390965530145,64,0.8784980728636653,False,11,Initial state
protected_dual_outage_rmse,initial_velocity_error_z_mps,-0.11364468864468863,0.11364468864468863,0.3712468683403097,64,0.8538677971827122,False,10,Initial state
protected_dual_outage_rmse,non_gravitational_acceleration_mps2,-0.01945970695970696,0.01945970695970696,0.8786949707822851,64,0.926044100235536,False,21,Orbital disturbance
protected_dual_outage_rmse,fault_magnitude_m,-0.029807692307692306,0.029807692307692306,0.8151297105600777,64,0.926044100235536,False,19,GNSS fault
protected_dual_outage_rmse,fault_start_min,0.011446886446886444,0.011446886446886444,0.9284675032359804,64,0.9284675032359805,False,23,GNSS fault
protected_dual_outage_rmse,fault_duration_min,0.28209706959706954,0.28209706959706954,0.023922103592056865,64,0.22658153874003897,False,2,GNSS fault
protected_dual_outage_rmse,gnss_outage_duration_min,0.08653846153846154,0.08653846153846154,0.49654238900989783,64,0.8784980728636653,False,13,Mission outage
protected_dual_outage_rmse,star_tracker_outage_duration_min,0.05009157509157509,0.05009157509157509,0.6942593539464396,64,0.926044100235536,False,15,Mission outage
protected_dual_outage_rmse,dual_outage_duration_min,0.04143772893772893,0.04143772893772893,0.7450994259485928,64,0.926044100235536,False,17,Mission outage
protected_nis_mean,pseudorange_noise_std_m,-0.09606227106227104,0.09606227106227104,0.450188708520672,64,0.9208628223900464,False,10,GNSS measurement
protected_nis_mean,accelerometer_noise_std_mps2,0.09963369963369961,0.09963369963369961,0.4334439612527322,64,0.9208628223900464,False,9,Accelerometer
protected_nis_mean,accelerometer_bias_x_mps2,-0.05947802197802196,0.05947802197802196,0.6406002242713366,64,0.9208628223900464,False,16,Accelerometer
protected_nis_mean,accelerometer_bias_y_mps2,-0.026465201465201465,0.026465201465201465,0.8355529651753741,64,0.9936969546086576,False,17,Accelerometer
protected_nis_mean,accelerometer_bias_z_mps2,-0.07825091575091574,0.07825091575091574,0.5388104725258883,64,0.9208628223900464,False,12,Accelerometer
protected_nis_mean,gyro_noise_std_degps,-0.0024267399267399264,0.0024267399267399264,0.9848161307638601,64,0.9936969546086576,False,22,Gyroscope
protected_nis_mean,gyro_bias_x_degps,0.18891941391941391,0.18891941391941391,0.1348969965055259,64,0.9208628223900464,False,3,Gyroscope
protected_nis_mean,gyro_bias_y_degps,-0.003434065934065934,0.003434065934065934,0.9785146609838422,64,0.9936969546086576,False,21,Gyroscope
protected_nis_mean,gyro_bias_z_degps,0.020146520146520144,0.020146520146520144,0.8744476751981806,64,0.9936969546086576,False,20,Gyroscope
protected_nis_mean,star_tracker_noise_std_deg,0.1658424908424908,0.1658424908424908,0.19030367467535256,64,0.9208628223900464,False,4,Star tracker
protected_nis_mean,initial_position_error_x_m,0.05975274725274724,0.05975274725274724,0.639055338166533,64,0.9208628223900464,False,15,Initial state
protected_nis_mean,initial_position_error_y_m,0.07087912087912086,0.07087912087912086,0.5778294831204722,64,0.9208628223900464,False,13,Initial state
protected_nis_mean,initial_position_error_z_m,0.0010073260073260072,0.0010073260073260072,0.9936969546086576,64,0.9936969546086576,False,23,Initial state
protected_nis_mean,initial_velocity_error_x_mps,-0.024313186813186814,0.024313186813186814,0.8487605660090548,64,0.9936969546086576,False,19,Initial state
protected_nis_mean,initial_velocity_error_y_mps,-0.14258241758241758,0.14258241758241758,0.2610419901229951,64,0.9208628223900464,False,6,Initial state
protected_nis_mean,initial_velocity_error_z_mps,0.10347985347985347,0.10347985347985347,0.4158107771044214,64,0.9208628223900464,False,8,Initial state
protected_nis_mean,non_gravitational_acceleration_mps2,0.1514194139194139,0.1514194139194139,0.23232865139194606,64,0.9208628223900464,False,5,Orbital disturbance
protected_nis_mean,fault_magnitude_m,-0.08603479853479852,0.08603479853479852,0.49906097690557627,64,0.9208628223900464,False,11,GNSS fault
protected_nis_mean,fault_start_min,0.026190476190476188,0.026190476190476188,0.8372366050310236,64,0.9936969546086576,False,18,GNSS fault
protected_nis_mean,fault_duration_min,0.13685897435897434,0.13685897435897434,0.28086570662837956,64,0.9208628223900464,False,7,GNSS fault
protected_nis_mean,gnss_outage_duration_min,-0.06066849816849816,0.06066849816849816,0.633916772307852,64,0.9208628223900464,False,14,Mission outage
protected_nis_mean,star_tracker_outage_duration_min,0.23168498168498167,0.23168498168498167,0.06546037146893494,64,0.9208628223900464,False,1,Mission outage
protected_nis_mean,dual_outage_duration_min,0.21959706959706957,0.21959706959706957,0.08124584184876278,64,0.9208628223900464,False,2,Mission outage
gain_mission_rmse_m,pseudorange_noise_std_m,0.34132716722894707,0.34132716722894707,0.005776224464647083,64,0.0442843875622943,True,3,GNSS measurement
gain_mission_rmse_m,accelerometer_noise_std_mps2,-0.035119449629700504,0.035119449629700504,0.7829296923244055,64,0.8655178863009522,False,20,Accelerometer
gain_mission_rmse_m,accelerometer_bias_x_mps2,0.025572637051092216,0.025572637051092216,0.8410256473781629,64,0.8792540858953521,False,22,Accelerometer
gain_mission_rmse_m,accelerometer_bias_y_mps2,-0.08605867741723872,0.08605867741723872,0.49894142021801424,64,0.7738570374044454,False,14,Accelerometer
gain_mission_rmse_m,accelerometer_bias_z_mps2,0.1550384047538017,0.1550384047538017,0.22122606089182223,64,0.6792258627443917,False,7,Accelerometer
gain_mission_rmse_m,gyro_noise_std_degps,0.033906065776783866,0.033906065776783866,0.7902554614052172,64,0.8655178863009522,False,21,Gyroscope
gain_mission_rmse_m,gyro_bias_x_degps,0.038599342943725586,0.038599342943725586,0.7620258851341324,64,0.8655178863009522,False,19,Gyroscope
gain_mission_rmse_m,gyro_bias_y_degps,0.16893508397494134,0.16893508397494134,0.1820537887350144,64,0.6792258627443917,False,6,Gyroscope
gain_mission_rmse_m,gyro_bias_z_degps,0.11678247233448649,0.11678247233448649,0.3580976378110222,64,0.6863538058044593,False,12,Gyroscope
gain_mission_rmse_m,star_tracker_noise_std_deg,0.13251067435248143,0.13251067435248143,0.2965763074777654,64,0.6821255071988604,False,10,Star tracker
gain_mission_rmse_m,initial_position_error_x_m,-0.04894744674595807,0.04894744674595807,0.7009100945410576,64,0.8655178863009522,False,18,Initial state
gain_mission_rmse_m,initial_position_error_y_m,0.14118751360258344,0.14118751360258344,0.2657840332478055,64,0.6792258627443917,False,9,Initial state
gain_mission_rmse_m,initial_position_error_z_m,-0.08491397566920415,0.08491397566920415,0.5046893722202905,64,0.7738570374044454,False,15,Initial state
gain_mission_rmse_m,initial_velocity_error_x_mps,-0.00842500486553441,0.00842500486553441,0.9473198781619325,64,0.9473198781619325,False,23,Initial state
gain_mission_rmse_m,initial_velocity_error_y_mps,-0.3224395883863767,0.3224395883863767,0.009363772148855308,64,0.05384168985591802,True,4,Initial state
gain_mission_rmse_m,initial_velocity_error_z_mps,0.14560606234999687,0.14560606234999687,0.2509599055384856,64,0.6792258627443917,False,8,Initial state
gain_mission_rmse_m,non_gravitational_acceleration_mps2,-0.057692968100942155,0.057692968100942155,0.6506750623840379,64,0.8655178863009522,False,16,Orbital disturbance
gain_mission_rmse_m,fault_magnitude_m,0.3795144175433802,0.3795144175433802,0.00198226502785247,64,0.022796047820303405,True,2,GNSS fault
gain_mission_rmse_m,fault_start_min,0.08800467038889748,0.08800467038889748,0.4892483572175157,64,0.7738570374044454,False,13,GNSS fault
gain_mission_rmse_m,fault_duration_min,0.45098959469065847,0.45098959469065847,0.00018405667181264164,64,0.004233303451690758,True,1,GNSS fault
gain_mission_rmse_m,gnss_outage_duration_min,-0.054144392682035,0.054144392682035,0.6708877442281718,64,0.8655178863009522,False,17,Mission outage
gain_mission_rmse_m,star_tracker_outage_duration_min,0.1909591456071264,0.1909591456071264,0.13065827814745645,64,0.6010280794782996,False,5,Mission outage
gain_mission_rmse_m,dual_outage_duration_min,0.11982737898425844,0.11982737898425844,0.34561470755156953,64,0.6863538058044593,False,11,Mission outage
gain_dual_rmse_m,pseudorange_noise_std_m,-0.015407685528545267,0.015407685528545267,0.9038183761921416,64,0.912642706129207,False,22,GNSS measurement
gain_dual_rmse_m,accelerometer_noise_std_mps2,0.2454240547786111,0.2454240547786111,0.05061800328951549,64,0.2910535189147141,False,4,Accelerometer
gain_dual_rmse_m,accelerometer_bias_x_mps2,-0.013988255360982403,0.013988255360982403,0.9126427061292071,64,0.912642706129207,False,23,Accelerometer
gain_dual_rmse_m,accelerometer_bias_y_mps2,-0.2329010176551129,0.2329010176551129,0.06401951872884261,64,0.29448978615267596,False,5,Accelerometer
gain_dual_rmse_m,accelerometer_bias_z_mps2,0.14272141394494978,0.14272141394494978,0.2605726126420726,64,0.599317009076767,False,10,Accelerometer
gain_dual_rmse_m,gyro_noise_std_degps,-0.09709360226829195,0.09709360226829195,0.4453169213055535,64,0.649636285807975,False,15,Gyroscope
gain_dual_rmse_m,gyro_bias_x_degps,0.11126500990895988,0.11126500990895988,0.3814113910989142,64,0.649636285807975,False,12,Gyroscope
gain_dual_rmse_m,gyro_bias_y_degps,0.07438271958728614,0.07438271958728614,0.5591236272543806,64,0.714435745936153,False,18,Gyroscope
gain_dual_rmse_m,gyro_bias_z_degps,0.19105072174696916,0.19105072174696916,0.13047036803743553,64,0.42868835212300244,False,7,Gyroscope
gain_dual_rmse_m,star_tracker_noise_std_deg,0.029487517029370438,0.029487517029370438,0.8170809715303484,64,0.8948982069141911,False,21,Star tracker
gain_dual_rmse_m,initial_position_error_x_m,-0.07866390412493542,0.07866390412493542,0.5366632611152109,64,0.714435745936153,False,17,Initial state
gain_dual_rmse_m,initial_position_error_y_m,0.055014366010541264,0.055014366010541264,0.6659101393355006,64,0.7657966602358257,False,20,Initial state
gain_dual_rmse_m,initial_position_error_z_m,-0.10419075310610626,0.10419075310610626,0.41259744057531605,64,0.649636285807975,False,14,Initial state
gain_dual_rmse_m,initial_velocity_error_x_mps,-0.10430522328090971,0.10430522328090971,0.4120813696364354,64,0.649636285807975,False,13,Initial state
gain_dual_rmse_m,initial_velocity_error_y_mps,-0.28292448404422343,0.28292448404422343,0.02349512774138408,64,0.1801293126839446,False,3,Initial state
gain_dual_rmse_m,initial_velocity_error_z_mps,0.12001053126394397,0.12001053126394397,0.34487258608117266,64,0.649636285807975,False,11,Initial state
gain_dual_rmse_m,non_gravitational_acceleration_mps2,-0.09569706613568976,0.09569706613568976,0.451920894475113,64,0.649636285807975,False,16,Orbital disturbance
