geometry_name,source_scenario_id,replicate_index,scenario_seed,altitude_km,inclination_deg,initial_true_anomaly_deg,time_sync_error_s,natural_visible_satellites_min,natural_visible_satellites_mean,strong_detection_rate,strong_isolation_rate,low_detection_rate,false_alarm_rate,attitude_rmse_deg,permissive_mission_rmse,permissive_mission_max,permissive_final_error,permissive_final_sigma,permissive_strong_fault_rmse,permissive_gnss_outage_rmse,permissive_star_tracker_outage_rmse,permissive_low_redundancy_rmse,permissive_post_low_rmse,permissive_dual_outage_rmse,permissive_post_dual_rmse,permissive_nis_mean,permissive_nis_coverage,permissive_updates,protected_mission_rmse,protected_mission_max,protected_final_error,protected_final_sigma,protected_strong_fault_rmse,protected_gnss_outage_rmse,protected_star_tracker_outage_rmse,protected_low_redundancy_rmse,protected_post_low_rmse,protected_dual_outage_rmse,protected_post_dual_rmse,protected_nis_mean,protected_nis_coverage,protected_updates,gain_mission_rmse_m,gain_low_rmse_m,gain_dual_rmse_m,reference_mission_rmse,reference_low_rmse,reference_dual_rmse,reference_nis,delta_mission_rmse_m,delta_low_rmse_m,delta_dual_rmse_m,delta_nis
WORST_PDOP_P95,AURORA17_004,11,170211,400.0,0.0,240.0,0.0,12,13.206060606060609,100.0,100.0,100.0,1.6666666666666667,0.034321049529594,0.6158051578395641,2.193239872843182,0.3631701769095139,0.2890373242182969,0.9096085594713336,0.7792207008274419,0.4133016521867237,0.1735938639194343,0.1789876841200476,0.1788270757125085,0.3803281042948719,3.000830865760618,96.21212121212122,660,0.6158051578395641,2.193239872843182,0.3631701769095139,0.2890373242182969,0.9096085594713336,0.7792207008274419,0.4133016521867237,0.1735938639194343,0.1789876841200476,0.1788270757125085,0.3803281042948719,3.000830865760618,96.21212121212122,660,0.0,0.0,0.0,0.6806897448835095,0.9826699088689757,0.3651763896394721,3.1177659143946173,-0.0648845870439454,-0.8090760449495413,-0.18634931392696358,-0.11693504863399928
BEST_MEAN_PDOP,AURORA17_088,12,170212,700.0,60.0,240.0,0.0,12,14.543939393939391,100.0,100.0,100.0,1.0,0.0430693656944432,0.4342751461975701,1.7919718763208523,0.1681205461969269,0.2805088069385607,0.8522065288274051,0.7438328528447434,0.3806012341892297,0.2054693637001725,0.1691354539889153,0.246921530394401,0.1800324701143203,3.1791776863460752,91.78082191780824,657,0.4342751461975701,1.7919718763208523,0.1681205461969269,0.2805088069385607,0.8522065288274051,0.7438328528447434,0.3806012341892297,0.2054693637001725,0.1691354539889153,0.246921530394401,0.1800324701143203,3.1791776863460752,91.78082191780824,657,0.0,0.0,0.0,0.6957790896636636,0.5017124715143789,0.2411805510343926,2.8420529490124027,-0.2615039434660935,-0.29624310781420643,0.005740979360008419,0.33712473733367254
MEDIAN_PDOP,AURORA17_056,12,170212,550.0,75.0,120.0,0.0,12,13.766666666666667,100.0,100.0,98.33333333333331,0.6666666666666667,0.0430672125799293,0.5597544091259241,1.4357321879922325,0.2572779588991492,0.2928238987480984,0.5480733793380828,0.8634774088739684,0.577934034029043,0.4905906624998835,0.4811862169689215,0.3638140834266387,0.4212740104911411,3.369313205443349,93.47496206373292,659,0.5513583338165875,1.4357321879922325,0.2428678819957209,0.2928307515126239,0.5480733793380828,0.8634774088739684,0.577934034029043,0.325642806481216,0.4237783416150936,0.4038526712197735,0.432475124018391,3.016484368273124,93.61702127659576,658,0.0083960753093366,0.1649478560186674,-0.0400385877931347,0.6957790896636636,0.5017124715143789,0.2411805510343926,2.8420529490124027,-0.14442075584707614,-0.1760696650331629,0.16267212018538088,0.17443141926072148
WORST_PDOP_P95,AURORA17_004,12,170212,400.0,0.0,240.0,0.0,12,13.206060606060609,100.0,100.0,100.0,1.1666666666666667,0.0431011721979085,0.7196347858402193,3.3261622375462307,0.3273782556181631,0.2891828489807592,0.5226369299103683,1.5011785067753032,0.7744362954611351,0.3543893452522298,0.3523584892476035,0.3938204395390994,0.3693891031130422,2.933657569170581,95.44764795144158,659,0.7196347858402193,3.3261622375462307,0.3273782556181631,0.2891828489807592,0.5226369299103683,1.5011785067753032,0.7744362954611351,0.3543893452522298,0.3523584892476035,0.3938204395390994,0.3693891031130422,2.933657569170581,95.44764795144158,659,0.0,0.0,0.0,0.6957790896636636,0.5017124715143789,0.2411805510343926,2.8420529490124027,0.023855696176555696,-0.1473231262621491,0.1526398885047068,0.09160462015817838
BEST_MEAN_PDOP,AURORA17_088,13,170213,700.0,60.0,240.0,0.0,12,14.543939393939391,100.0,100.0,100.0,1.3333333333333337,0.0394458738474834,0.4272986460164364,1.5143966156132471,0.3988222466450956,0.2806326256640472,0.6771377893709425,0.3571094017981494,0.593142155123936,0.119372227919305,0.2002059920438314,0.3277195348763533,0.5020237472781592,3.0741294579735063,94.23368740515932,659,0.4272986460164364,1.5143966156132471,0.3988222466450956,0.2806326256640472,0.6771377893709425,0.3571094017981494,0.593142155123936,0.119372227919305,0.2002059920438314,0.3277195348763533,0.5020237472781592,3.0741294579735063,94.23368740515932,659,0.0,0.0,0.0,0.6098309909345633,0.1397804154735538,0.480063302044301,2.9973932758037747,-0.18253234491812687,-0.020408187554248794,-0.15234376716794767,0.07673618216973166
MEDIAN_PDOP,AURORA17_056,13,170213,550.0,75.0,120.0,0.0,12,13.766666666666667,100.0,100.0,96.66666666666669,1.0,0.0394330826973402,0.6120324397742872,1.51391028329344,0.2692437639031214,0.293109848927338,0.3889027775072892,0.5710019654925002,0.7281588314715295,0.3609134999884436,0.2201911557372865,0.3887574803316619,0.376572718823175,3.626425443011747,95.16616314199396,662,0.5984162097720037,1.51391028329344,0.2424651934672237,0.2931237703162497,0.3889027775072892,0.5710019654925002,0.7281588314715295,0.2466858332081103,0.2476058195214165,0.2447672362859433,0.3237539003641318,3.0126196574551187,95.6060606060606,660,0.0136162300022835,0.1142276667803332,0.1439902440457186,0.6098309909345633,0.1397804154735538,0.480063302044301,2.9973932758037747,-0.011414781162559562,0.1069054177345565,-0.23529606575835768,0.015226381651344045
WORST_PDOP_P95,AURORA17_004,13,170213,400.0,0.0,240.0,0.0,12,13.206060606060609,100.0,100.0,100.0,1.6666666666666667,0.0394138572945972,0.712497661125762,2.6334477002958843,0.3333751928094348,0.2890861292724508,0.6621119266754905,1.492175520887142,0.4708232654562711,0.2186723554341647,0.2549635091175997,0.4120617097331607,0.6852748050169132,3.065721340998665,94.6969696969697,660,0.712497661125762,2.6334477002958843,0.3333751928094348,0.2890861292724508,0.6621119266754905,1.492175520887142,0.4708232654562711,0.2186723554341647,0.2549635091175997,0.4120617097331607,0.6852748050169132,3.065721340998665,94.6969696969697,660,0.0,0.0,0.0,0.6098309909345633,0.1397804154735538,0.480063302044301,2.9973932758037747,0.10266667019119868,0.07889193996061089,-0.06800159231114028,0.0683280651948901
BEST_MEAN_PDOP,AURORA17_088,14,170214,700.0,60.0,240.0,0.0,12,14.543939393939391,100.0,100.0,100.0,1.0,0.0332737435928391,0.4510233402323927,1.5170036153676831,0.1798790657179732,0.2805867768213375,1.0247662283585073,0.5461554233206338,0.3802534930837033,0.1878329526653562,0.2743353803029324,0.3391865678835284,0.2584665089571388,3.183022141439411,94.3939393939394,660,0.4510233402323927,1.5170036153676831,0.1798790657179732,0.2805867768213375,1.0247662283585073,0.5461554233206338,0.3802534930837033,0.1878329526653562,0.2743353803029324,0.3391865678835284,0.2584665089571388,3.183022141439411,94.3939393939394,660,0.0,0.0,0.0,0.4724751246215572,0.1057271723222997,0.5196310389751233,2.9870389524154075,-0.021451784389164508,0.08210578034305652,-0.1804444710915949,0.19598318902400358
MEDIAN_PDOP,AURORA17_056,14,170214,550.0,75.0,120.0,0.0,12,13.766666666666667,100.0,100.0,100.0,1.0,0.0332693271600208,0.4297518519831588,1.082118174891156,0.1882344946855676,0.2930237221458717,0.4564001626431518,0.7511378866054559,0.2877995371295759,0.1523544939951465,0.2339306606407239,0.1927768993233017,0.244387560343345,3.018895455191477,94.3939393939394,660,0.4297518519831588,1.082118174891156,0.1882344946855676,0.2930237221458717,0.4564001626431518,0.7511378866054559,0.2877995371295759,0.1523544939951465,0.2339306606407239,0.1927768993233017,0.244387560343345,3.018895455191477,94.3939393939394,660,0.0,0.0,0.0,0.4724751246215572,0.1057271723222997,0.5196310389751233,2.9870389524154075,-0.042723272638398424,0.046627321672846805,-0.32685413965182164,0.03185650277606955
WORST_PDOP_P95,AURORA17_004,14,170214,400.0,0.0,240.0,0.0,12,13.206060606060609,100.0,100.0,100.0,0.6666666666666667,0.0332736831246988,0.6139122610665401,2.0724186199177423,0.6079218080259695,0.2890068252111024,0.8104499280997771,1.2696487516322543,0.3922943483529476,0.142083028570611,0.3216117814787079,0.1673831461679089,0.4455671870783176,3.069388764420718,96.20637329286798,659,0.6139122610665401,2.0724186199177423,0.6079218080259695,0.2890068252111024,0.8104499280997771,1.2696487516322543,0.3922943483529476,0.142083028570611,0.3216117814787079,0.1673831461679089,0.4455671870783176,3.069388764420718,96.20637329286798,659,0.0,0.0,0.0,0.4724751246215572,0.1057271723222997,0.5196310389751233,2.9870389524154075,0.14143713644498285,0.03635585624831131,-0.3522478928072144,0.08234981200531033
